Date,ppt,tmean,tmax,tmin,J,PET,RA,q_cfs,q_m3day,q_m,q_mm
1988-10-03,0,17.23393697,24.31915898,10.14924314,277,0.7675603841,25.30533761,0.53,1296.856415,7.74E-05,0.07735377526
1988-10-04,0,16.05162608,23.13270155,8.970976334,278,0.7341565499,25.0566626,0.6,1468.139337,8.76E-05,0.08757031161
1988-10-05,10.10933863,15.19347081,21.00208708,9.386262852,279,0.6416284705,24.80862932,0.73,1786.236194,0.0001065438791,0.1065438791
1988-10-06,0.01143027886,16.43654606,22.01675344,10.85673314,280,0.6461036181,24.56133113,0.75,1835.174172,0.0001094628895,0.1094628895
1988-10-07,0.04728286721,13.99377791,17.97854133,10.01092024,281,0.5018871851,24.31486139,0.75,1835.174172,0.0001094628895,0.1094628895
1988-10-08,0,14.97702447,21.97567331,7.979023895,282,0.6788488798,24.06931341,0.75,1835.174172,0.0001094628895,0.1094628895
1988-10-09,0,16.0264983,23.2465542,8.807107549,283,0.7043508746,23.82478031,0.75,1835.174172,0.0001094628895,0.1094628895
1988-10-10,0,17.11462216,25.00999992,9.220183369,284,0.7524757033,23.58135503,0.67,1639.42226,9.78E-05,0.09778684797
1988-10-11,0,15.89463849,22.91099611,8.878765334,285,0.677542688,23.33913017,0.65,1590.484282,9.49E-05,0.09486783758
1988-10-12,0,16.08765469,23.15579679,9.019980043,286,0.6768741083,23.09819798,0.65,1590.484282,9.49E-05,0.09486783758
1988-10-13,0,14.28115608,19.61027959,8.952653235,287,0.5506284849,22.85865026,0.89,2177.740017,0.0001298959622,0.1298959622
1988-10-14,26.75306776,12.84951865,16.49486485,9.206035527,288,0.4305108368,22.62057828,1.2,2936.278675,0.0001751406232,0.1751406232
1988-10-15,13.15105603,14.17147894,18.76277263,9.581788827,289,0.4987400921,22.38407272,1,2446.898895,0.0001459505194,0.1459505194
1988-10-16,0,17.76326007,23.90554611,11.62156202,290,0.6349763232,22.14922359,0.97,2373.491929,0.0001415720038,0.1415720038
1988-10-17,0,18.82493702,25.22379274,12.42723115,291,0.6604121299,21.91612018,0.91,2226.677995,0.0001328149726,0.1328149726
1988-10-18,0,18.47707663,25.21701196,11.73818345,292,0.6642669328,21.68485096,0.85,2079.864061,0.0001240579415,0.1240579415
1988-10-19,0,19.21955928,26.6598281,11.7811512,293,0.7046605331,21.45550354,0.83,2030.926083,0.0001211389311,0.1211389311
1988-10-20,0,17.19731937,23.37897602,11.01679681,294,0.6007898412,21.22816459,0.8,1957.519116,0.0001167604155,0.1167604155
1988-10-21,0,17.02512074,23.76976467,10.28153365,295,0.6178423002,21.0029198,0.8,1957.519116,0.0001167604155,0.1167604155
1988-10-22,0,16.10346254,22.50119895,9.706665246,296,0.5795976411,20.77985377,0.8,1957.519116,0.0001167604155,0.1167604155
1988-10-23,0,16.57205297,23.28370106,9.86152182,297,0.5954535224,20.55905002,0.8,1957.519116,0.0001167604155,0.1167604155
1988-10-24,0,16.20585329,23.09860955,9.314036103,298,0.5906656881,20.34059087,0.8,1957.519116,0.0001167604155,0.1167604155
1988-10-25,0,16.08531193,23.47934603,8.692729312,299,0.6031149165,20.12455742,0.81,1981.988105,0.0001182199207,0.1182199207
1988-10-26,0,13.89319202,18.87353777,8.913434217,300,0.458056932,19.91102947,0.85,2079.864061,0.0001240579415,0.1240579415
1988-10-27,0,13.06931135,17.84890025,8.290251272,301,0.4324353069,19.70008552,0.87,2128.802039,0.0001269769518,0.1269769518
1988-10-28,0,12.70162596,17.04802862,8.355298857,302,0.4031632363,19.49180268,0.95,2324.553951,0.0001386529934,0.1386529934
1988-10-29,0,11.63922358,15.37327065,7.906218842,303,0.3568426136,19.28625664,1,2446.898895,0.0001459505194,0.1459505194
1988-10-30,0,12.31199668,17.25615972,7.368422548,304,0.4155988793,19.08352161,1,2446.898895,0.0001459505194,0.1459505194
1988-10-31,0,12.62972592,18.96925579,6.290665299,305,0.4705955041,18.88367032,1,2446.898895,0.0001459505194,0.1459505194
1988-11-01,0,13.68210837,19.61193636,7.75329488,306,0.4659544323,18.68677395,1.2,2936.278675,0.0001751406232,0.1751406232
1988-11-02,16.341334,10.84726773,15.22144175,6.474075711,307,0.3603750902,18.49290212,2,4893.797791,0.0002919010387,0.2919010387
