Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb21_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
A1,0.012488153,-48.90414669,-33.33685322,8.8549692,1223.317951,-231.2807353,830.3381239,,,,,,,,3.863838772,0.003654109,-0.026478523,0.004011762,0.004016553,0.030623977,0.004837851,0.085361008,0.010881861,0.008326184,0.032628219,0.009976442,0.016726267,0.016553431,0.011684003,,,,,,,,,
A2,0.008664127,-56.11113374,-33.85780983,-9.376123056,37.98413401,-239.5829287,-238.0014999,0.007667204,,,,,,,2.003373826,0.003077095,-0.027414011,-5.46409E-05,0.001865538,0.031718991,0.003024616,0.003951482,0.00490823,0.003045362,0.032185332,0.007049006,0.010622905,0.014395771,0.005577108,0.007088479,0.002918048,,,,,,,
A3,0.032095532,-64.86231925,-28.64897991,-17.71032594,33.48225062,-232.0714313,-229.6994066,0.012515597,0.013299183,-0.025067143,0.018037797,,,,3.671170435,0.004432151,-0.027963494,0.000318033,0.003256649,0.033310681,0.000220418,0.002744431,0.002745527,0.002103627,0.033320346,0.003203991,0.006684018,0.001157482,0.001737906,0.008559096,0.011151372,0.002655035,,,,,,
A4,0.015989432,-54.05203086,-29.6905931,8.854960865,53.17787405,-227.7227051,-200.8393716,0.018453065,0.000308871,-0.02802655,,,,,11.76152476,0.022082063,0.00083652,0.024647594,0.031904034,0.029783652,0.018402251,0.020214637,0.016142553,0.013246502,0.031873871,0.014924886,0.021828864,0.022881877,0.015588271,0.00478879,0.017040648,0.005065138,,,,,,
A5,0.009961215,-68.98053461,35.941571,15.10565679,57.96108112,-235.6295289,-227.7226566,,,-0.026818663,0.003562591,,,,,,,,,,,0.003826371,,0.003202355,0.032980836,0.004273527,0.011219787,0.007781688,,,,,,,,,,
A6,0.006709528,-27.28336262,5.208860484,-8.855223395,315.9855149,-230.0947235,-223.7692673,0.009276105,-0.002304232,-0.0270794,0.021528087,0.004197566,0.002992486,0.006707169,19.15640291,0.006243672,-0.02192571,0.008426251,0.016158845,0.033947933,0.030311973,0.012358312,0.012603973,0.011011548,0.032756379,0.011456118,,0.022083549,0.01720734,0.014826012,,0.019075472,0.011824591,0.008662105,,,,
A7,0.008971785,43.24180013,9.375814687,-8.334343181,101.2919549,-232.0714492,-232.8621251,0.010722529,0.001265697,-0.035563957,0.00397675,0.001106348,0.000985167,0.009281355,2.184518902,0.009497065,-0.026295241,-0.001100332,0.000483433,0.035416822,0.006351217,0.040737616,0.00543613,0.003026868,0.033557583,0.004410686,0.004220379,0.003728932,,0.003592175,0.0040281,0.005388314,0,-0.003378171,-0.00669977,,0.001263546,
A8,0.007626255,-24.19475429,-26.56535348,51.56807327,206.2449429,-226.5366595,-238.3969148,0.018641675,0.003088333,-0.035380655,0.013016458,0.000399376,0.003609048,0.007075411,3.604391464,0.007103801,-0.023330201,0.000759034,0.000318467,0.035893665,0.002734775,0.005470302,0.003688018,0.000755162,0.033390415,0.001157157,0.004843904,0.099826197,,0.007353931,0.004885858,0.004250232,0,-0.0028962,-0.00838746,0.001358346,0.001334044,
A9,0.009850239,-37.57906233,-8.855202559,0.520807984,37.42142213,-237.2108861,-207.5602279,0.006003102,-0.002137978,-0.030554104,0.015879982,0.000214033,0.002240024,0.007371802,2.612884757,0.006064658,-0.023759056,-0.000391945,0.014686532,0.035656096,-0.000277188,0.001631703,0.003479148,0.007370567,0.033576603,0.000900441,0.005716488,-0.004259446,-0.000618554,0.005347348,0.003142664,0.002099472,0,-0.002261131,-0.012450568,0.001635879,0.000167825,
A10,0.01020816,-19.56182121,-24.48174789,6.771434452,245.6386277,-174.7465675,-221.7925553,0.003378563,0.009949549,-0.030700783,0.036764741,0.00233018,0.004396649,0.008058303,3.895183675,0.006640926,-0.022916349,0.003127818,0.008209062,0.035261109,0.009722353,0.011625832,0.00876044,0.003306412,0.032765636,0.008102387,0.005828392,0.00321876,0.012629099,0.006396185,0.009302455,0.00752029,0.004018182,-0.005799861,0.004744362,0.002412425,0.001904792,
B1,0.015784857,-20.07644833,-14.06410749,-2.083551414,32.35677509,,,,,,,,,,,,,,0.02111995,0.032786599,0.012254896,0.006538147,0.009003913,0.005537774,0.031734776,0.012341716,0.010407294,0.010184274,,,,,,,,,0.065056698,
B2,0.019076475,177.0880681,-31.25333514,-4.31E-05,84.6911178,-222.9785482,-218.2344872,0.006775066,,,,,,,17.07195835,0.023969278,0.001696522,0.018211397,0.032048101,0.03259933,0.013220273,0.039209881,0.019004528,0.014921671,0.030657045,0.041035155,0.035669089,0.04025543,0.035382246,0.010480533,,,,,,,,
B3,0.003376182,-12.35473807,-36.98307862,-39.06665781,80.47053483,-198.071952,-196.8858938,0.02520387,0.025333792,,,,,,24.42344484,,0.008341544,0.02557473,0.031070632,0.033055245,0.02224722,0.028469059,0.023373237,0.018645571,0.0310813,0.034840411,0.037766363,0.041709425,0.043568226,0.03223554,0.030878079,,,,,,,
B4,0.006307022,-42.72685727,67.74044415,-42.71283737,305.8550907,-208.3508606,-203.6067448,0.017289521,0.012593751,-0.014456388,,,,,28.25030651,0.022815757,-0.00069743,0.022095082,0.023237074,0.030724025,0.029032102,0.023343099,0.01902654,0.018294705,0.030244972,0.027658316,0.024277703,0.030767975,0.020137078,0.021297399,0.025554882,,,,,,,
B5,0.010720267,-52.50753177,-8.334355682,-55.73485662,201.7429695,-210.32756,-166.0488695,0.022941478,0.027623337,0.028350984,0.042068824,0.028562639,0.004386696,,31.34194756,0.024214445,0.004770017,0.027018425,0.037449449,0.032017137,0.026005019,0.019818263,0.022166202,0.017648827,0.031551296,0.025874932,0.025842989,0.027463046,0.016969217,0.018216081,0.03786013,0.025954854,0.025431252,,,,,
B6,0.008740989,-38.09374299,7.813301838,-39.58751441,188.7993093,-226.1412688,-210.3275632,0.014636386,0.03264607,-0.005801612,0.019684296,0.016465265,0.011043058,0.019826781,15.51159261,0.024541997,0.001558464,0.016589864,0.024839289,0.029803557,0.018998392,0.013782109,0.019196114,0.012531461,0.031685221,0.021270977,0.016561656,0.022182621,0.018685849,0.0132072,0.025655098,0.017862091,0.018322798,0.011679081,,,,
