Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
A1,58.37185009,6.507048902,5.455918634,1.996948688,128.1082711,49.10954618,105.7746402,,,,,,,,31.55755675,34.18469844,25.54020787,8.397031063,7.277285373,4.81600752,4.651298642,4.308483538,3.905301581,4.169057318,4.499684797,5.015462529,5.00085587,4.685780169,4.408564546,,,,,,,,,
A2,58.85850822,5.670486465,4.521569461,1.43412155,57.38161557,44.38745187,42.49869523,48.58472886,,,,,,,21.98,22.40808522,23.10427936,12.11848718,7.909861322,5.730291347,5.494859477,5.503079942,4.477028045,4.384298865,4.66994615,4.211919513,3.945538146,3.784440418,3.9420951,4.409721358,4.092853262,,,,,,,
A3,84.30210452,9.431867069,6.35950719,2.902758013,57.38153728,32.11009428,50.05399376,47.60789094,47.59265524,40.46970751,33.24703841,,,,18.87,12.7512321,15.01467976,9.200221921,6.663130288,5.661527247,5.011562522,4.810740434,3.585357214,4.051021564,3.669814168,3.78079018,3.787062457,3.428176689,3.74364763,4.098798162,4.884452887,6.213237261,,,,,,
A4,68.68433023,4.553121114,0.227160412,-0.713784609,27.35626891,12.27736262,9.444143303,12.6285888,22.30218481,28.33002966,,,,,7.04,4.833329921,3.830574327,2.49055104,2.186367697,1.829101383,1.875337115,1.439638687,1.270884201,1.327182627,1.073686313,1.041002771,1.129181787,0.888069271,1.002746383,1.363005536,2.579932169,3.443678395,,,,,,
A5,47.58169769,5.527063018,3.003257572,2.088438886,44.70417731,24.55477813,16.05500685,,,27.76470986,27.16659843,,,,,,,,,,,12.39551527,,8.535253335,8.673455435,9.979344069,8.594813018,8.606061533,,,,,,,,,,
A6,61.58092596,5.434514441,2.466611509,1.586974213,38.69911581,17.94387429,20.77707094,28.30299876,27.45617772,28.6537967,29.5456689,34.73914112,34.75104921,34.47037871,36.15,34.25172206,26.85495829,6.847116251,5.869856004,4.107950385,3.974676039,3.489994842,3.239665803,2.996005825,2.673596347,3.021949929,,2.980747068,3.286130942,3.984607284,,5.864527221,9.220339345,13.5941688,,,,
A7,74.42027151,9.384606359,8.13899645,1.667171522,60.71768474,50.05395094,28.33243243,48.22983349,48.37764373,46.00099308,46.47795631,46.0340811,46.44971194,47.02460368,48.72,53.28019654,51.82893225,17.00677031,12.7197625,9.470607707,5.892197538,5.670842424,4.447005691,5.670161248,6.22717482,6.867304645,6.945115407,6.822582604,,7.824171426,7.013127938,8.649582794,9.422692209,12.64678881,14.05668036,,23.17748499,
A8,73.43736318,8.937182527,7.964682359,6.082665109,95.41376843,61.3869214,77.44217505,65.53546962,69.19272263,68.2182414,63.78814247,68.79323187,69.22877537,67.58149198,67.01,67.3167425,64.59945173,43.37115321,38.09946088,25.15563238,26.50184023,20.44149745,18.84833803,15.6107386,13.50958232,13.30092722,13.11664131,11.93383585,,12.13712246,11.65181724,14.05828438,15.01366869,20.85217364,20.51651685,20.31056897,22.27920328,
A9,64.26104212,6.608822737,3.930498002,2.929977848,69.39169231,29.27684978,39.6654054,43.51838724,45.19422845,46.16015058,46.04932196,49.86975126,56.79572442,57.00260247,60.41,65.86772783,51.79474899,37.68923219,41.02233835,41.02944451,39.90137976,45.64028402,45.36433973,46.56356739,40.77155181,41.49484252,40.15076514,40.22389485,39.58743233,38.69978366,39.12369069,39.82997559,39.8621403,46.81523664,54.68474953,49.89720833,49.31383324,
A10,65.62174867,8.369795879,6.726579935,6.523887509,94.07931407,61.38693651,61.38695917,73.09698662,80.00593368,79.41033092,74.06060169,76.35616855,80.7970711,76.46025959,77.58272402,78.4961456,83.68544095,82.62705601,82.04838132,78.52731,82.6993648,84.1434995,78.61025425,83.33745113,79.5774708,81.52271834,78.69916912,78.43364269,76.89623437,74.50266056,77.76086811,78.05248449,76.63106472,77.1422161,65.31471803,62.48206201,61.34781769,
