,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
92242,7460836,556600.44,4333358.97,206.57,2,425158.120807,-24.0,74,1,1,2071,0,0,2,0,0,0,,,556600.4362114368,4333358.862944861,-0.9629138351162031,176.7770081,206.58242797851562
64625,5337856,556600.41,4333358.84,206.57,2,415939.47217,-9.0,86,1,1,2027,0,0,2,0,0,0,,,556600.4108437632,4333358.863842594,-0.9375302815602149,176.7770081,206.58242797851562
10630,769177,556600.41,4333359.02,206.61,1,415211.723938,9.0,82,1,1,1022,0,1,1,0,0,0,,,556600.4044817295,4333358.86406774,-0.9311642653568823,176.7770081,206.58242797851562
11250,1210853,556600.34,4333358.64,206.52,2,415938.792019,-9.0,70,1,1,1025,0,0,1,0,0,0,,,556600.3480002459,4333358.866066557,-0.8746474248104005,176.7770081,206.58242797851562
147783,11655528,556600.32,4333358.59,206.5,2,426733.715884,7.002000000000002,21,1,1,3080,0,1,3,0,0,0,,,556600.3297924936,4333358.86671091,-0.856428274610957,176.7770081,206.58242797851562
64626,5337857,556600.33,4333359.13,206.59,2,415939.472178,-9.0,92,1,1,2027,0,0,2,0,0,0,,,556600.3206938846,4333358.8670328995,-0.8473239699830433,176.7770081,206.58242797851562
11251,1210854,556600.26,4333358.92,206.57,2,415938.792027,-9.0,80,1,1,1025,0,0,1,0,0,0,,,556600.2582038137,4333358.869244354,-0.7847947809091036,176.7770081,206.58242797851562
64627,5337858,556600.26,4333359.41,206.64,1,415939.472186,-9.0,82,1,1,2027,0,0,2,0,0,0,,,556600.2408849443,4333358.86985725,-0.7674650700967677,176.7770081,206.57681274414062
26062,2456159,556600.22,4333359.3,206.59,2,422098.084445,-10.998,75,1,1,1051,0,0,1,0,0,0,,,556600.204822886,4333358.871133446,-0.731380437290351,176.7770081,206.57681274414062
75965,5681805,556600.18,4333358.43,206.51,2,417839.186827,-7.997999999999998,77,1,1,2034,0,1,2,0,0,0,,,556600.1956227478,4333358.871459029,-0.7221745397176115,176.7770081,206.57681274414062
