,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
57268,7784659,556599.46,4333359.61,206.64,2,425472.619579,9.0,88,1,1,2073,0,1,2,0,0,0,,,556599.4652639969,4333359.610058241,-0.8981132039035172,176.6130371,206.6245880126953
57269,7784660,556599.16,4333359.58,206.61,2,425472.619587,9.0,78,1,1,2073,0,1,2,0,0,0,,,556599.4655591542,4333359.583380668,-0.8714339986569529,176.6130371,206.6245880126953
36088,4878118,556599.67,4333359.58,206.66,1,415212.364513,9.0,84,1,1,2024,0,1,2,0,0,0,,,556599.4656215752,4333359.577738783,-0.8657917682821739,176.6130371,206.6245880126953
76862,10449363,556599.73,4333359.57,206.64,2,422097.457791,-10.998,23,1,1,3051,0,1,3,0,0,0,,,556599.4657395441,4333359.567076256,-0.8551285886879071,176.6130371,206.6245880126953
30677,4545554,556599.35,4333359.54,206.63,1,409917.526886,7.997999999999998,96,1,1,2015,0,0,2,0,0,0,,,556599.4660249099,4333359.541283685,-0.8293344391872143,176.6130371,206.6245880126953
76863,10449364,556599.43,4333359.54,206.62,2,422097.457799,-10.998,24,1,1,3051,0,1,3,0,0,0,,,556599.4660347014,4333359.540398683,-0.8284493834413428,176.6130371,206.6245880126953
12997,1529225,556599.88,4333359.54,206.66,2,417838.546133,-7.997999999999998,58,1,1,1032,0,1,1,0,0,0,,,556599.4660897788,4333359.535420549,-0.8234709448759673,176.6130371,206.6245880126953
82953,11346966,556599.4,4333359.53,206.62,2,425471.217735,7.997999999999998,24,1,1,3071,0,1,3,0,0,0,,,556599.4661416548,4333359.530731783,-0.8187818915598936,176.6130371,206.6245880126953
82952,11346965,556599.69,4333359.53,206.64,2,425471.217727,7.997999999999998,24,1,1,3071,0,1,3,0,0,0,,,556599.4661771491,4333359.527523653,-0.8155735644849732,176.6130371,206.6245880126953
37313,5339151,556599.17,4333359.52,206.61,2,415939.48625,-9.0,80,1,1,2027,0,1,2,0,0,0,,,556599.4662241293,4333359.523277386,-0.8113270381092818,176.6130371,206.6245880126953
82954,11346967,556599.1,4333359.51,206.61,2,425471.217743,7.997999999999998,22,1,1,3071,0,1,3,0,0,0,,,556599.4663261869,4333359.514052986,-0.8021020741007683,176.6130371,206.6245880126953
27043,3859092,556599.18,4333359.51,206.61,2,426734.250961,7.997999999999998,68,1,1,1080,0,0,1,0,0,0,,,556599.4663359785,4333359.513167985,-0.8012170183548968,176.6130371,206.6245880126953
76864,10449365,556599.13,4333359.5,206.61,2,422097.457807,-10.998,26,1,1,3051,0,1,3,0,0,0,,,556599.4664404839,4333359.503722335,-0.7917707904099154,176.6130371,206.6245880126953
27042,3859091,556599.46,4333359.5,206.62,2,426734.250953,7.997999999999998,66,1,1,1080,0,0,1,0,0,0,,,556599.466480874,4333359.500071703,-0.7881199354620593,176.6130371,206.6245880126953
62248,8729853,556599.47,4333359.49,206.63,1,409916.166248,7.002000000000002,23,1,1,3015,0,0,3,0,0,0,,,556599.4665927232,4333359.489962302,-0.7780099157076743,176.6130371,206.6245880126953
27041,3859090,556599.74,4333359.49,206.62,2,426734.250945,7.997999999999998,68,1,1,1080,0,0,1,0,0,0,,,556599.4666257696,4333359.486975422,-0.7750228525679338,176.6130371,206.6245880126953
66992,8985397,556599.11,4333359.48,206.61,2,415211.097532,7.997999999999998,24,1,1,3022,0,0,3,0,0,0,,,556599.4666592864,4333359.483946034,-0.7719932787740812,176.6130371,206.6245880126953
76865,10449366,556598.84,4333359.47,206.58,2,422097.457815,-10.998,23,1,1,3051,0,1,3,0,0,0,,,556599.4667368651,4333359.476934138,-0.7649809531964051,176.6130371,206.6245880126953
57979,8107128,556598.91,4333359.47,206.57,2,426734.877102,7.997999999999998,76,1,1,2082,0,1,2,0,0,0,,,556599.4667454327,4333359.476159761,-0.7642065294187675,176.6130371,206.6245880126953
27040,3859089,556600.03,4333359.47,206.64,2,426734.250937,7.997999999999998,56,1,1,1080,0,0,1,0,0,0,,,556599.4668825144,4333359.463769739,-0.7518157489881578,176.6130371,206.6245880126953
57980,8107129,556599.19,4333359.46,206.6,2,426734.87711,7.997999999999998,75,1,1,2082,0,1,2,0,0,0,,,556599.4668903283,4333359.463063479,-0.75110944652593,176.6130371,206.6245880126953
57981,8107130,556599.49,4333359.45,206.62,2,426734.877118,7.997999999999998,78,1,1,2082,0,1,2,0,0,0,,,556599.4670376718,4333359.4497459475,-0.7377910996953367,176.6130371,206.6245880126953
