,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
32528,2846385,556631.32,4333275.64,206.18,2,423533.281897,-6.0,24,2,2,1060,0,1,1,0,0,0,,,556631.4384630513,4333275.639443726,-0.9504542054646167,175.944931,206.1949920654297
79716,6546654,556631.44,4333275.62,206.23,2,422097.497431,-12.0,62,1,1,2053,0,1,2,0,0,0,,,556631.4383717843,4333275.620007646,-0.9310179108583185,175.944931,206.1949920654297
48597,4262848,556631.39,4333275.6,207.58,1,409368.056289,-18.0,6,2,1,2013,0,1,2,0,0,0,1.3500000000000227,177.29493100000002,556631.4382767688,4333275.599773304,-0.9107833456847735,175.944931,206.1949920654297
79717,6546655,556631.16,4333275.6,206.15,2,422097.497439,-12.0,59,1,1,2053,0,1,2,0,0,0,,,556631.4382716974,4333275.598693304,-0.9097033338240056,175.944931,206.1949920654297
48585,4262836,556631.66,4333275.59,206.22,2,409368.050593,-18.0,24,2,2,2013,0,0,2,0,0,0,,,556631.4382357657,4333275.591041351,-0.9020512961677212,175.944931,206.1949920654297
69892,5693437,556631.51,4333275.56,206.22,2,417839.333789,-15.0,65,2,2,2034,0,0,2,0,0,0,,,556631.4380915887,4333275.560337664,-0.8713472710917448,175.944931,206.1949920654297
26349,1795690,556631.78,4333275.54,206.27,2,418408.364788,18.0,14,2,2,1034,0,1,1,0,0,0,,,556631.438003629,4333275.541605932,-0.8526153320469835,175.944931,206.1949920654297
62803,5329650,556631.65,4333275.53,206.24,1,415939.368521,-1.998,50,2,2,2027,0,1,2,0,0,0,,,556631.437953806,4333275.530995717,-0.842005001032682,175.944931,206.1949920654297
106520,8997049,556631.22,4333275.52,206.15,2,415211.2600050001,1.998,22,1,1,3022,0,0,3,0,0,0,,,556631.4378973682,4333275.518976807,-0.8299859579639949,175.944931,206.1949920654297
61076,4889209,556631.18,4333275.51,206.16,1,415212.500586,1.998,76,1,1,2024,0,0,2,0,0,0,,,556631.4378495297,4333275.508789201,-0.8197982402869435,175.944931,206.1949920654297
89862,7679652,556631.82,4333275.5,206.32,1,425471.257312,7.002000000000002,18,2,2,2073,0,1,2,0,0,0,,,556631.437816685,4333275.501794639,-0.8128036011541769,175.944931,206.1949920654297
62802,5329649,556631.73,4333275.5,207.41,1,415939.368521,-1.998,10,2,1,2027,0,1,2,0,0,0,1.1399999999999864,177.08493099999998,556631.4378147004,4333275.501372031,-0.8123809878174736,175.944931,206.1949920654297
79714,6546652,556631.4,4333275.5,207.87,1,422097.497423,-12.0,18,2,1,2053,0,1,2,0,0,0,1.6500000000000057,177.594931,556631.4378074241,4333275.499822466,-0.8108314055825301,175.944931,206.1949920654297
89864,7679654,556631.53,4333275.49,206.24,1,425471.257319,7.002000000000002,32,2,2,2073,0,1,2,0,0,0,,,556631.437763334,4333275.490433121,-0.8014419575414132,175.944931,206.1949920654297
89866,7679656,556631.22,4333275.47,206.15,2,425471.257327,7.002000000000002,34,2,2,2073,0,1,2,0,0,0,,,556631.4376625855,4333275.46897791,-0.779986509394137,175.944931,206.1949920654297
89867,7679657,556630.92,4333275.46,206.06,1,425471.257335,7.002000000000002,61,1,1,2073,0,1,2,0,0,0,,,556631.4376090142,4333275.457569434,-0.7685779087439011,175.944931,206.1949920654297
114187,9642437,556631.82,4333275.44,206.31,1,417838.063305,-15.0,14,1,1,3032,0,1,3,0,0,0,,,556631.4375349458,4333275.441795963,-0.7528042630566101,175.944931,206.1949920654297
53618,4536680,556631.65,4333275.44,206.18,2,409917.404469,13.998,29,2,2,2015,0,0,2,0,0,0,,,556631.4375311973,4333275.440997702,-0.7520059934206755,175.944931,206.1949920654297
108052,9382259,556630.93,4333275.44,206.03,2,415938.047275,-3.0,20,1,1,3025,0,1,3,0,0,0,,,556631.4375153217,4333275.437616833,-0.7486250867259551,175.944931,206.1949920654297
100602,8719210,556631.9,4333275.43,206.36,1,409916.003839,13.002,8,1,1,3015,0,0,3,0,0,0,,,556631.4374897532,4333275.432171835,-0.7431800288973665,175.944931,206.1949920654297
53615,4536677,556631.75,4333275.43,207.3,1,409917.404461,13.998,33,2,1,2015,0,0,2,0,0,0,1.1200000000000045,177.064931,556631.4374864458,4333275.431467487,-0.7424756733358296,175.944931,206.1949920654297
48602,4262853,556631.31,4333275.41,206.12,2,409368.056305,-18.0,50,2,2,2013,0,1,2,0,0,0,,,556631.4373828309,4333275.409401841,-0.7204097846338201,175.944931,206.1949920654297
114027,9641862,556631.13,4333275.41,206.13,2,417838.053417,-15.0,20,1,1,3032,0,0,3,0,0,0,,,556631.4373788619,4333275.408556624,-0.7195645579598667,175.944931,206.1949920654297
12094,780130,556631.09,4333275.4,206.11,2,415211.860308,1.998,94,1,1,1022,0,0,1,0,0,0,,,556631.4373310235,4333275.398369019,-0.7093768402822687,175.944931,206.1949920654297
89863,7679653,556631.74,4333275.37,207.9,1,425471.257319,7.002000000000002,15,2,1,2073,0,1,2,0,0,0,1.740000000000009,177.684931,556631.4372044862,4333275.371421854,-0.6824293782007905,175.944931,206.1949920654297
89861,7679651,556632.08,4333275.36,208.41,1,425471.257312,7.002000000000002,13,2,1,2073,0,1,2,0,0,0,2.0200000000000102,177.964931,556631.4371650266,4333275.363018597,-0.6740260279454972,175.944931,206.1949920654297
89865,7679655,556631.44,4333275.35,207.97,1,425471.257327,7.002000000000002,18,2,1,2073,0,1,2,0,0,0,1.789999999999992,177.734931,556631.4371039582,4333275.350013599,-0.6610208870909865,175.944931,206.1949920654297
69894,5693439,556631.43,4333275.35,207.95,1,417839.333805,-15.0,15,2,1,2034,0,0,2,0,0,0,1.7699999999999818,177.71493099999998,556631.4371037377,4333275.349966642,-0.6609739300540609,175.944931,206.1949920654297
42117,3439812,556632.17,4333275.31,206.39,2,425470.696851,6.0,8,2,2,1071,0,1,1,0,0,0,,,556631.4369322284,4333275.313442307,-0.6244491917815771,175.944931,206.1949920654297
