Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
A1,5.934165574,5.53357753,5.186314531,2.887741748,6.288701025,4.308089652,5.210884462,,,,,,,,3.676448481,3.976632856,3.370956096,2.013167157,1.947969645,1.551550115,1.436967497,1.471058157,1.471072164,1.627171128,1.815201036,1.987845665,2.018345113,1.976905669,1.940814209,,,,,,,,,
A2,3.547186866,3.422034551,3.79298428,2.079183646,6.807923386,4.605344522,5.485001217,6.550293809,,,,,,,3.377490254,3.200559146,3.193085327,2.012195501,1.595140837,1.342663452,1.318367202,1.442834933,1.296564204,1.347280171,1.387741213,1.485475834,1.493080427,1.603700483,1.683952927,1.772880636,1.676220571,,,,,,,
A3,7.62655527,7.129490036,5.87797586,4.019128398,8.132547387,5.170050189,6.341003085,8.497450067,10.31788233,9.808563716,8.339812276,,,,5.927934654,4.074548702,5.003218359,3.535289262,3.054801556,2.771210462,2.485962165,2.591101925,2.10681708,2.318937939,2.128086637,2.283147244,2.231448924,2.196049261,2.395864284,2.445715129,2.998145221,3.656523187,,,,,,
A4,3.538586229,2.592365852,1.097311381,0.856041733,2.055084873,0.938866068,1.33394181,2.81127017,5.440520198,7.015132751,,,,,2.213450159,1.697626827,1.736678435,1.244135095,1.204606651,1.156615631,1.098689448,1.057429883,0.919546949,0.916824673,0.855300996,0.856939689,0.851191883,0.810629247,0.877650897,0.926703482,1.638705894,1.99477827,,,,,,
A5,2.384243542,2.666069837,2.100813635,1.829706455,2.651516769,1.657348389,1.773378858,,,2.795436002,2.303300712,,,,,,,,,,,1.851844195,,1.635758019,1.618030542,1.70427508,1.619451464,1.53432893,,,,,,,,,,
A6,9.576415886,8.440097533,6.879901635,5.363614833,7.210080264,4.940206624,5.538701121,6.780227508,7.027683359,7.781575028,8.263413218,10.43990312,11.28103553,11.69421426,13.13858527,12.38281751,10.23286788,2.828744045,2.439706932,1.890702406,1.793627831,1.734573172,1.507732189,1.549930248,1.478118481,1.607066325,,1.692397052,1.871443294,2.025675231,,2.938085321,4.536166085,5.744350297,,,,
A7,10.56351386,11.88302756,13.85373058,5.076016691,11.12630921,8.204317766,9.18592353,10.2531817,10.47895316,10.31060199,10.4738507,11.21008327,11.67946711,12.26748532,15.11907907,17.33787657,17.79274959,5.93607156,4.52376425,3.743095584,2.312804897,2.775592105,1.967246354,2.718958208,2.911581017,3.233434904,3.268289168,3.207749299,,3.478926702,3.3857756,3.931333662,4.372744825,4.957468925,6.012757835,,9.105784191,
A8,22.66017071,22.0179457,19.10435682,15.99798227,18.5826137,15.61488342,15.63101921,16.62616399,17.56537748,17.6675249,17.21114799,19.23219837,20.16799749,19.98877363,21.49811792,21.96998226,21.10704156,11.70119323,10.27798853,6.833159916,6.823508535,5.804693022,5.289593742,4.935874491,4.529312951,4.686735927,4.598175854,4.388332511,,4.34379912,4.713056607,5.464590982,6.143338169,7.425158409,8.164214034,8.207008229,8.621854909,
A9,6.598973533,6.752462205,5.888968853,4.871405795,6.267100228,4.78133707,4.950415533,5.283227426,5.276014145,5.394623929,5.227042967,5.699988438,6.428687661,6.302835161,6.83652062,7.412579751,6.212289389,4.629729398,4.932047811,5.105604517,4.881549007,5.556960341,5.56390482,5.815489992,5.135127308,5.325927422,5.201949139,5.089284085,5.051837491,4.817268749,4.755469723,4.768344254,4.824716639,5.272953135,6.176908741,5.524090985,5.491644193,
A10,10.97317111,13.66705172,12.12522266,11.57435485,13.9043349,10.71617238,11.66547334,11.79753003,12.42497411,12.48842736,11.32134225,12.14014291,11.7393657,11.37600188,11.75986671,11.93985556,12.06315128,12.1184114,11.82046035,11.45124911,11.68126085,12.11936983,11.4132553,12.16048418,11.7092933,11.98884152,11.72532835,11.3842071,11.44374621,11.37736543,11.3155489,11.308474,11.59281637,11.65710409,10.57389432,9.746556004,9.901509682,
B1,3.776662125,3.810296648,3.356322161,1.817271383,2.982804588,,,,,,,,,,,,,,1.372833137,2.692231816,1.205737452,1.318958899,1.220541145,1.262608343,1.366056244,1.660286256,1.620180368,1.826891525,,,,,,,,,2.515,
B2,2.170706958,2.323028746,1.787079921,1.315206538,3.500977735,2.159757022,2.581842843,3.299068135,,,,,,,2.055964313,1.773780717,1.68828658,1.063990759,0.915550885,0.832091947,0.670807256,0.838081153,0.795052179,0.802130999,0.900499368,1.099810938,1.151607941,1.189257514,1.261775595,1.209949719,,,,,,,,
B3,3.303084226,2.496492971,1.21335636,1.367988619,2.350657813,1.420032954,1.601409206,2.29379523,2.4197826,,,,,,3.043486347,,1.968133036,1.576901899,1.351914536,1.25075904,0.963795452,1.011351995,0.864739963,0.942780692,0.837354633,0.922875653,1.03140523,0.981347748,1.029768415,1.074070317,1.154026129,,,,,,,
B4,6.555849073,4.258191301,2.357428923,1.679714205,2.866065312,1.719949575,2.071738669,3.236586206,4.11259982,4.59177186,,,,,2.976155796,2.537276065,2.296883242,1.784780702,1.611663436,1.333151271,1.268038185,1.322590798,1.139390913,1.1706614,1.118139602,1.112486593,1.104075446,1.131520369,1.157481488,1.295544785,1.959683707,,,,,,,
B5,3.689274049,2.610949252,1.426261261,1.137176124,2.505709888,1.300763423,1.823037619,2.508237148,3.141262415,3.992733318,5.296869561,7.846195956,9.367368855,,6.799269729,3.03542114,1.925009476,1.27744837,1.23096605,1.244906239,0.948771894,1.115707327,1.00963654,0.986596455,0.937785467,0.98351156,0.954926364,0.943007294,1.003105429,1.088989673,1.416422262,1.445060248,2.272758082,,,,,
B6,2.274386704,2.563008372,1.593988908,1.160416216,2.27218501,1.359202358,1.451078905,2.086997099,2.273155872,2.456077227,2.850594216,4.39476856,5.898102981,6.933536177,7.839383783,2.985979513,1.967974721,1.416086805,1.422543054,1.361196034,1.166333848,1.320875557,1.072461904,1.047365255,1.045527758,1.130835217,1.121385256,1.100482593,1.201648196,1.276664728,1.592540399,1.521318725,2.149932856,2.939121927,,,,
B7,11.56567413,10.91896472,9.950771815,6.657464324,7.516965679,5.97125302,6.425881912,7.410583069,7.99855093,8.195392876,8.285309486,10.07671332,,,,,,2.500620557,3.124796869,3.260797468,1.664171031,2.038622401,1.512780417,1.660084091,1.73971359,1.92795019,2.030466586,2.049188498,2.359831551,2.443720656,2.823405508,,3.957084589,,,,,
B8,5.342102877,4.214739988,3.427415686,2.526212288,4.351523485,2.934974487,3.324065491,4.060201795,4.257049781,4.491653499,4.768226522,6.417255401,8.446794542,,,,6.987450566,2.003564868,2.020238714,1.929109348,1.773783155,2.144700458,1.688066391,1.912501045,1.848365809,2.038995225,1.920383347,1.900564741,2.05644296,2.099854055,2.30585516,2.40310684,3.511159019,4.350003123,,3.63355245,,
