Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
A1,5.962289026,4.513222427,25.17049393,2.088144863,0.976980635,0.702905901,0.839337404,,,,,,,,5.68427643,5.391615872,5.520933754,4.353166692,4.260489626,3.809296733,3.606625163,3.570263257,3.530154429,3.776330557,4.093984953,4.283533268,4.371477452,4.498223132,4.752424676,,,,,,,,,
A2,6.240158803,5.102135693,4.503058038,2.727572539,1.232296359,0.862915024,1.029142807,9.422010247,,,,,,,6.954161307,6.15371377,6.591116285,5.8154035,5.0778192,4.799487488,4.690009072,4.812303118,4.41407031,4.614567452,4.852129567,4.902080098,5.129602267,5.40290772,5.716100712,5.940146974,5.867485092,,,,,,,
A3,11.95245791,8.107117932,6.757585016,4.316599081,1.481894316,1.018421893,1.201203232,12.07513815,12.83305912,13.48365689,12.32089936,,,,11.35451501,8.74733134,9.148323668,8.287612376,7.850926901,6.508761008,6.711193383,6.788642471,6.069598774,6.603041442,6.661500049,6.788037058,6.643202593,6.75055641,7.180854056,7.291316137,8.235442586,8.691397637,,,,,,
A4,7.466038686,5.84707498,4.060956268,3.271591516,1.067411991,0.693754745,0.846136956,8.83460095,11.06230078,12.10827979,,,,,7.711082711,6.63560905,7.378595639,6.403994789,6.48376389,6.147324498,6.404126352,5.973834149,5.375130053,5.542435768,5.428942647,5.354606335,5.345585842,5.387573819,5.653872508,8.868672248,14.86573793,13.65476987,,,,,,
A5,4.874975773,4.623454322,3.886340385,3.470623808,0.957358884,0.694985679,0.712199339,,,8.513137204,7.241573021,,,,,,,,,,,7.062953286,,6.75539367,6.776233373,6.788604329,6.62682686,6.64907686,8.625996571,,,,,,,,,
A6,13.4100328,9.547950136,7.733114896,6.283617027,1.393447372,0.998671661,1.112048921,10.7750713,10.84066536,12.11815471,11.48671881,13.9033022,19.59278055,31.52085615,27.62626173,20.4907002,15.82013917,8.650664526,8.104062296,7.34764273,7.346619611,7.288575024,6.345857703,7.020174861,7.169597622,7.477609964,,7.852699853,,7.982954093,,10.58754056,15.5511125,19.55108747,,,,
A7,12.46138102,10.50979658,10.70955636,4.589267518,1.65168479,1.185585425,1.402464136,11.59282099,11.82513607,12.27525747,12.25818505,12.98296105,13.30414423,12.91197361,14.39937051,14.6031243,14.89255469,8.255870278,10.02508264,8.379165558,5.896408369,7.716124543,6.029093689,7.835037672,9.585046723,9.463056281,9.273701085,9.371515441,,10.21022731,14.27869636,15.31158785,15.414662,17.55987112,21.91439739,,28.43732609,
A8,17.48237722,12.15655483,9.23805847,6.929273752,1.509857353,1.241455771,1.256860797,11.21004864,11.62475454,12.38291261,11.53812977,12.93446891,13.90139167,13.9591937,15.81569328,16.60748062,16.69791761,11.09145263,10.12278195,7.662606862,7.808717868,7.748982033,7.48677515,7.556016946,7.790470251,7.24790924,7.082623717,7.104302758,,7.232029392,7.366208252,7.841780672,8.433803204,9.41008757,9.812367876,9.445238127,9.72261962,
A9,11.72110426,8.108603738,5.962077738,4.837303006,1.330331999,0.889935196,1.095941445,9.513400441,9.723017339,10.81300115,10.33730275,10.99660106,12.94129621,12.41971232,13.7425174,13.14335876,11.20652929,8.159781027,8.180927436,7.994615389,7.908320066,8.265940573,7.813658565,8.445084226,8.202225295,8.276377207,8.214727147,8.309639597,8.331396254,8.381389558,7.984572608,8.500229583,11.33482443,15.32692955,34.00329356,30.51566454,27.62400375,
A10,10.50594281,9.855335494,8.493091237,7.592038682,1.590676069,1.269103873,1.351480483,11.37350094,11.75319482,12.050578,10.53226587,11.29201955,11.02435243,10.29409841,10.86296805,11.45366479,17.41372206,13.02114257,12.03121368,11.49239059,11.49359088,11.9579221,10.74859539,11.49759665,11.51253343,11.33415476,11.04192416,11.21199159,11.00988719,10.72544358,10.76420976,10.86659779,25.93864501,38.52422371,44.44690648,40.20333547,41.04404335,
