Sample Name,Feb07_2016,Feb21_2016,Mar12_2016,Apr01_2016,May03_2016,Jun12_2016,Jun26_2016,Jul10_2016,Jul24_2016,Aug07_2016,Aug27_2016,Sep18_2016,Oct08_2016,Oct20_2016,Nov06_2016,Nov19_2016,Dec06_2016,Jan06_2017,Jan08_2017,Jan21_2017,Feb04_2017,Feb19_2017,Mar07_2017,Mar18_2017,Apr08_2017,Apr22_2017,May14_2017,May25_2017,Jun17_2017,Jul07_2017,Jul17_2017,Aug01_2017,Sep10_2017,Oct07_2017,Oct28_2017,Nov18_2017,Dec04_2017,
A1,6.657142782,7.854082981,10.868585,10.52516779,16.12186403,9.193866518,11.96808161,,,,,,,,9.333924697,8.370794005,6.683544697,5.158030678,5.127296268,4.248901884,3.567128471,4.650887213,4.303111433,4.570924651,4.850534395,5.785859108,5.341090419,7.127772023,7.621129129,,,,,,,,,
A2,8.661602862,11.68280545,15.31578724,14.06233449,15.52582113,9.098772165,12.2691816,10.98191479,,,,,,,11.56009207,10.6085707,10.96713291,9.280839699,8.072290292,7.620261602,7.041094731,8.179575794,7.553252528,7.11816621,6.959117459,7.8904797,8.155758147,10.95514582,11.57521971,14.83376055,9.323664327,,,,,,,
A3,10.85484704,12.93524651,15.53899809,14.64611038,18.35238637,11.49242797,15.89939672,12.74330898,12.63333702,14.24993081,13.94730894,,,,16.76701383,13.0020697,12.89524888,12.49377136,13.03806375,9.498016731,11.1604119,11.63978678,11.83695044,10.60233852,9.911805105,10.92784418,10.73072628,14.2252116,14.21589024,17.05726893,11.35287059,11.47854971,,,,,,
A4,10.75855692,12.38063288,15.09257906,13.87344791,17.40057472,10.12914395,13.98122413,12.35609214,12.08653854,11.99686111,,,,,14.28564927,12.54625036,11.78556161,11.28212275,11.51417206,9.695186126,10.86427495,10.75926307,11.02783424,10.05162128,9.676495646,10.52359393,9.762620615,13.44189956,13.32269051,16.99927153,10.63380956,10.82740898,,,,,,
A5,7.344215312,9.678988786,15.14408963,15.59052556,18.11203575,11.01688654,11.19125154,,,13.60821167,11.2886112,,,,,,,,,,,13.28085115,,13.60750871,11.97726687,12.60502306,12.43591733,17.25151891,,,,,,,,,,
A6,12.02917434,16.19154275,19.40247733,17.59951039,18.72738102,12.83987891,12.64962649,12.60935463,12.51043741,13.8774835,12.32057271,14.59808951,16.48298726,13.90009434,16.98606941,15.69857623,14.47604929,14.1544462,13.70940113,11.53190709,13.08160556,13.49818706,14.0209179,12.94538162,11.77256863,12.52397565,,16.79118681,16.4473751,20.29192692,,11.75295381,14.37136196,12.30241733,,,,
A7,8.848570655,10.48412292,12.77451598,13.44416422,15.69887349,9.447519256,11.39731755,10.29259761,10.61056711,10.02590129,11.19271675,12.56770944,12.68491172,10.8596074,12.48737162,11.07665385,9.704754346,10.29387418,10.14645598,9.672416585,9.914186002,10.5279467,11.11682856,10.35176931,9.380797693,10.14122528,10.10717134,13.44494093,,16.25750374,9.78990421,9.551790917,10.58711367,9.130707889,8.912068914,,9.836591745,
A8,8.803870899,12.89944773,15.96829744,11.48672083,15.73732043,9.843802384,9.875507026,9.919680892,9.52650288,9.220207577,9.005208904,10.1356326,11.00713306,8.750656483,10.48657107,9.648966525,8.798628062,9.190002288,9.915610747,9.102623912,10.25484934,10.67285588,11.37728464,11.04995249,9.683173931,10.02578175,10.42853793,13.44640091,,16.50236593,9.346857993,10.21047745,10.22795982,9.115871991,9.04086887,8.734131364,9.342532406,
A9,9.900127765,14.33080957,15.40163811,14.69764367,18.39085869,13.10933636,14.12393425,11.63820482,11.7414054,13.33441864,12.60759216,13.03875572,14.36519756,10.08384444,11.85605175,9.957080694,10.65439191,12.3374232,12.35553909,10.79356776,12.84364661,11.91150721,13.25754021,12.07459993,11.3507971,12.42122611,11.78095665,16.66605529,16.26016204,18.58351329,11.56828974,12.34885881,12.78674874,10.96566633,9.475298872,8.604672146,8.603400586,
A10,6.704570417,10.48409877,13.66739503,10.92010381,14.06443335,7.640401827,10.28766171,8.093629724,8.846342464,9.747042665,9.150355308,9.590633997,10.63536931,8.475546581,9.647004308,10.18072373,8.576060751,9.612221054,9.646284473,8.945614083,10.01904207,10.02844481,10.50449526,9.63714974,9.07550005,10.1494565,9.359410443,12.94309535,12.32469837,14.71832543,9.220796189,9.748807908,10.71649113,9.021299833,7.944365062,8.548551646,9.279182205,
